Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 1634.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 1834.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: DEDE , with_vote: 500, new_vote : 792.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: ANITA , with_vote: 50, new_vote : 1894.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SITA , with_vote: 200, new_vote : 892.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: GAZA , with_vote: 100, new_vote : 2312.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: GAZA , with_vote: 100, new_vote : 2412.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: KATE , with_vote: 100, new_vote : 209.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: OWUO , with_vote: 100, new_vote : 672.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: BB , with_vote: 200, new_vote : 566.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: KASI , with_vote: 10, new_vote : 94.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: BB , with_vote: 100, new_vote : 685.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: DEDE , with_vote: 100, new_vote : 920.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: DEDE , with_vote: 200, new_vote : 1120.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: DEDE , with_vote: 100, new_vote : 1220.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 294.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SITA , with_vote: 200, new_vote : 1101.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: BB , with_vote: 200, new_vote : 887.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 494.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: MAAME , with_vote: 100, new_vote : 1276.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: AMA BA , with_vote: 100, new_vote : 567.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 729.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: MERCY , with_vote: 100, new_vote : 520.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: MERCY , with_vote: 50, new_vote : 593.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KATE , with_vote: 200, new_vote : 763.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ETORNAM , with_vote: 200, new_vote : 942.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ETORNAM , with_vote: 200, new_vote : 1165.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: ETORNAM , with_vote: 100, new_vote : 1285.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: ETORNAM , with_vote: 100, new_vote : 1408.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 957.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: SUZZY , with_vote: 100, new_vote : 1014.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: SUZZY , with_vote: 100, new_vote : 1117.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: SUZZY , with_vote: 100, new_vote : 1221.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: MERCY , with_vote: 500, new_vote : 1328.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: DEDE , with_vote: 200, new_vote : 1489.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: DEDE , with_vote: 200, new_vote : 1690.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: SHOE , with_vote: 1000, new_vote : 2300.<br/>
